location	Latitude	Longitude
Ada city	47.3	-96.52
Adams city	43.57	-92.72
Adrian city	43.63	-95.93
Afton city	44.9	-92.82
Aitkin city	46.53	-93.71
Akeley city	47	-94.73
Albany city	45.63	-94.57
Albert Lea city	43.65	-93.36
Alberta city	45.58	-96.05
Albertville city	45.24	-93.66
Alden city	43.67	-93.57
Aldrich city	46.37	-94.94
Alexandria city	45.87	-95.38
Alpha city	43.64	-94.87
Altura city	44.06	-91.94
Alvarado city	48.19	-97
Amboy city	43.89	-94.16
Andover city	45.26	-93.33
Angle Inlet	49.35	-95.07
Annandale city	45.26	-94.12
Anoka city	45.21	-93.39
Apple Valley city	44.75	-93.2
Appleton city	45.2	-96.02
Arco city	44.38	-96.18
Arden Hills city	45.07	-93.17
Argyle city	48.33	-96.82
Arlington city	44.61	-94.08
Arnold	46.87	-92.11
Ashby city	46.09	-95.82
Askov city	46.19	-92.78
Atwater city	45.14	-94.78
Audubon city	46.86	-95.98
Aurora city	47.53	-92.24
Austin city	43.67	-92.97
Avoca city	43.95	-95.65
Avon city	45.61	-94.46
Babbitt city	47.64	-91.95
Backus city	46.82	-94.51
Badger city	48.78	-96.02
Bagley city	47.52	-95.4
Baker	46.71	-96.56
Balaton city	44.23	-95.87
Ball Club	47.33	-93.95
Barnesville city	46.65	-96.42
Barnum city	46.51	-92.69
Barrett city	45.91	-95.89
Barry city	45.56	-96.56
Battle Lake city	46.29	-95.72
Baudette city	48.71	-94.59
Baxter city	46.34	-94.28
Bayport city	45.02	-92.78
Beardsley city	45.56	-96.71
Beaulieu	47.34	-95.81
Beaver Bay city	47.26	-91.3
Beaver Creek city	43.61	-96.36
Becker city	45.38	-93.87
Bejou city	47.44	-95.97
Belgrade city	45.45	-95
Belle Plaine city	44.62	-93.76
Bellechester city	44.37	-92.51
Bellingham city	45.14	-96.28
Beltrami city	47.54	-96.53
Belview city	44.61	-95.33
Bemidji city	47.48	-94.88
Bena city	47.34	-94.21
Benson city	45.31	-95.61
Bertha city	46.27	-95.06
Bethel city	45.4	-93.27
Big Falls city	48.18	-93.81
Big Lake	46.7	-92.63
Big Lake city	45.34	-93.74
Bigelow city	43.51	-95.69
Bigfork city	47.75	-93.65
Bingham Lake city	43.91	-95.05
Birchwood Village city	45.06	-92.98
Bird Island city	44.76	-94.9
Biscay city	44.83	-94.27
Biwabik city	47.55	-92.32
Blackduck city	47.73	-94.55
Blaine city	45.17	-93.21
Blomkest city	44.94	-95.02
Blooming Prairie city	43.87	-93.06
Bloomington city	44.83	-93.32
Blue Earth city	43.64	-94.1
Bluffton city	46.47	-95.23
Bock city	45.78	-93.55
Borup city	47.18	-96.51
Bovey city	47.3	-93.4
Bowlus city	45.82	-94.41
Boy River city	47.17	-94.12
Boyd city	44.85	-95.9
Braham city	45.72	-93.17
Brainerd city	46.36	-94.2
Brandon city	45.97	-95.59
Breckenridge city	46.27	-96.59
Breezy Point city	46.61	-94.22
Brewster city	43.7	-95.46
Bricelyn city	43.56	-93.81
Brook Park city	45.95	-93.07
Brooklyn Center city	45.07	-93.32
Brooklyn Park city	45.11	-93.35
Brooks city	47.82	-96
Brookston city	46.87	-92.6
Brooten city	45.5	-95.12
